*******************************************************************************
Ephemeris / WWW_USER Mon Nov 21 02:03:34 2016 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Jupiter (599)                   {source: jup340_merged}
Center body name: Sun (10)                        {source: jup340_merged}
Center-site name: BODYCENTRIC
*******************************************************************************
Start time      : A.D. 2016-Nov-18 00:00:00.0000 UT      
Stop  time      : A.D. 2028-Nov-18 00:00:00.0000 UT      
Step-size       : 17280 minutes
*******************************************************************************
Target pole/equ : IAU_JUPITER                     {East-longitude -}
Target radii    : 71492.0 x 71492.0 x 66854.0 km  {Equator, meridian, pole}    
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : IAU_SUN                         {East-longitude +}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Target primary  : Sun
Vis. interferer : None
Rel. light bend : Sun                             {source: jup340_merged}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : BOTH
EOP file        : eop.161118.p170209                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2016-NOV-18. PREDICTS-> 2017-FEB-08
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass     n.a.    , Daylight (NO )
Table cut-offs 2: Solar Elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table format    : Comma Separated Values (spreadsheet)
****************************************************************************************************************************************************************
 Date__(UT)__HR:MN, Date_________JDUT, , ,R.A._(ICRF/J2000.0), DEC_(ICRF/J2000.0),   hEcl-Lon,  hEcl-Lat,            delta,     deldot,    ObsEcLon,   ObsEcLat,
****************************************************************************************************************************************************************
$$SOE
 2019-Mar-08 00:00, 2458550.500000000, , ,250.2503513,-21.5633888, 251.682644,  0.628800, 5.33002156940530, -0.5371277, 251.6826437,  0.6287995,
 2019-Mar-20 00:00, 2458562.500000000, , ,251.2602573,-21.7067243, 252.632146,  0.609787, 5.32626947983350, -0.5451992, 252.6321457,  0.6097872,
 2019-Apr-01 00:00, 2458574.500000000, , ,252.2735527,-21.8441204, 253.582971,  0.590579, 5.32248122478835, -0.5501701, 253.5829714,  0.5905790,
 2019-Apr-13 00:00, 2458586.500000000, , ,253.2902024,-21.9754973, 254.535146,  0.571181, 5.31865345757022, -0.5546429, 254.5351458,  0.5711815,
 2019-Apr-25 00:00, 2458598.500000000, , ,254.3101814,-22.1007807, 255.488707,  0.551598, 5.31478874295589, -0.5595368, 255.4887066,  0.5515981,
 2019-May-07 00:00, 2458610.500000000, , ,255.3334261,-22.2198936, 256.443659,  0.531832, 5.31089013561865, -0.5647802, 256.4436587,  0.5318324,
 2019-May-19 00:00, 2458622.500000000, , ,256.3598707,-22.3327590, 257.400008,  0.511890, 5.30695669853728, -0.5705134, 257.4000080,  0.5118901,
 2019-May-31 00:00, 2458634.500000000, , ,257.3894609,-22.4393046, 258.357774,  0.491775, 5.30299024864520, -0.5752859, 258.3577742,  0.4917751,
 2019-Jun-12 00:00, 2458646.500000000, , ,258.4221411,-22.5394587, 259.316979,  0.471492, 5.29899161821005, -0.5788221, 259.3169790,  0.4714923,
 2019-Jun-24 00:00, 2458658.500000000, , ,259.4578455,-22.6331507, 260.277637,  0.451047, 5.29496173748856, -0.5826018, 260.2776374,  0.4510466,
 2019-Jul-06 00:00, 2458670.500000000, , ,260.4964984,-22.7203128, 261.239758,  0.430442, 5.29090334684848, -0.5882813, 261.2397582,  0.4304419,
 2019-Jul-18 00:00, 2458682.500000000, , ,261.5380217,-22.8008768, 262.203351,  0.409684, 5.28681528867432, -0.5925752, 262.2033509,  0.4096842,
 2019-Jul-30 00:00, 2458694.500000000, , ,262.5823587,-22.8747789, 263.168447,  0.388779, 5.28269896406456, -0.5952370, 263.1684472,  0.3887786,
 2019-Aug-11 00:00, 2458706.500000000, , ,263.6294247,-22.9419574, 264.135056,  0.367729, 5.27855837750009, -0.5996930, 264.1350561,  0.3677287,
 2019-Aug-23 00:00, 2458718.500000000, , ,264.6791062,-23.0023493, 265.103162,  0.346541, 5.27439162355957, -0.6024528, 265.1031623,  0.3465409,
 2019-Sep-04 00:00, 2458730.500000000, , ,265.7313589,-23.0558973, 266.072816,  0.325221, 5.27019897203013, -0.6057255, 266.0728164,  0.3252211,
 2019-Sep-16 00:00, 2458742.500000000, , ,266.7861049,-23.1025468, 267.044041,  0.303773, 5.26598577483460, -0.6116474, 267.0440408,  0.3037729,
 2019-Sep-28 00:00, 2458754.500000000, , ,267.8431879,-23.1422425, 268.016788,  0.282202, 5.26175144765836, -0.6124902, 268.0167878,  0.2822018,
 2019-Oct-10 00:00, 2458766.500000000, , ,268.9025541,-23.1749322, 268.991106,  0.260516, 5.25749339071758, -0.6133124, 268.9911059,  0.2605157,
 2019-Oct-22 00:00, 2458778.500000000, , ,269.9641491,-23.2005681, 269.967045,  0.238719, 5.25321668188141, -0.6194754, 269.9670453,  0.2387189,
 2019-Nov-03 00:00, 2458790.500000000, , ,271.0278016,-23.2191057, 270.944550,  0.216816, 5.24892459164380, -0.6220328, 270.9445498,  0.2168156,
 2019-Nov-15 00:00, 2458802.500000000, , ,272.0934187,-23.2304995, 271.923638,  0.194814, 5.24461304342943, -0.6222788, 271.9236375,  0.1948140,
 2019-Nov-27 00:00, 2458814.500000000, , ,273.1609539,-23.2347084, 272.904370,  0.172720, 5.24028452063011, -0.6252041, 272.9043705,  0.1727201,
 2019-Dec-09 00:00, 2458826.500000000, , ,274.2302623,-23.2316974, 273.886721,  0.150538, 5.23594487167184, -0.6273661, 273.8867212,  0.1505375,
 2019-Dec-21 00:00, 2458838.500000000, , ,275.3012178,-23.2214311, 274.870681,  0.128274, 5.23159100724486, -0.6289897, 274.8706809,  0.1282740,
