*******************************************************************************
Ephemeris / WWW_USER Mon Nov 21 02:00:42 2016 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Mars (499)                      {source: mar097}
Center body name: Sun (10)                        {source: mar097}
Center-site name: BODYCENTRIC
*******************************************************************************
Start time      : A.D. 2016-Nov-18 00:00:00.0000 UT      
Stop  time      : A.D. 2018-Oct-07 00:00:00.0000 UT      
Step-size       : 1800 minutes
*******************************************************************************
Target pole/equ : IAU_MARS                        {East-longitude -}
Target radii    : 3396.2 x 3396.2 x 3376.2 km     {Equator, meridian, pole}    
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : IAU_SUN                         {East-longitude +}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Target primary  : Sun
Vis. interferer : None
Rel. light bend : Sun                             {source: mar097}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : BOTH
EOP file        : eop.161118.p170209                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2016-NOV-18. PREDICTS-> 2017-FEB-08
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass     n.a.    , Daylight (NO )
Table cut-offs 2: Solar Elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table format    : Comma Separated Values (spreadsheet)
****************************************************************************************************************************************************************
 Date__(UT)__HR:MN, Date_________JDUT, , ,R.A._(ICRF/J2000.0), DEC_(ICRF/J2000.0),   hEcl-Lon,  hEcl-Lat,            delta,     deldot,    ObsEcLon,   ObsEcLat,
****************************************************************************************************************************************************************
$$SOE
 2017-Jan-05 18:00, 2457759.250000000, , , 17.7270714,  6.5005967,  18.822614, -0.943494, 1.41317360029328,  1.5348027,  18.8226135, -0.9434939,
 2017-Jan-07 00:00, 2457760.500000000, , , 18.4248286,  6.8065244,  19.579995, -0.922398, 1.41428955223881,  1.5567187,  19.5799949, -0.9223979,
 2017-Jan-08 06:00, 2457761.750000000, , , 19.1223639,  7.1109673,  20.336164, -0.901175, 1.41542121557680,  1.5783284,  20.3361643, -0.9011747,
 2017-Jan-09 12:00, 2457763.000000000, , , 19.8196985,  7.4138784,  21.091108, -0.879829, 1.41656836815204,  1.5996290,  21.0911083, -0.8798290,
 2017-Jan-10 18:00, 2457764.250000000, , , 20.5168528,  7.7152112,  21.844814, -0.858366, 1.41773078578154,  1.6206177,  21.8448136, -0.8583658,
 2017-Jan-12 00:00, 2457765.500000000, , , 21.2138471,  8.0149197,  22.597267, -0.836790, 1.41890824233605,  1.6412918,  22.5972673, -0.8367898,
 2017-Jan-13 06:00, 2457766.750000000, , , 21.9107009,  8.3129586,  23.348457, -0.815106, 1.42010050982116,  1.6616489,  23.3484568, -0.8151059,
 2017-Jan-14 12:00, 2457768.000000000, , , 22.6074335,  8.6092831,  24.098370, -0.793319, 1.42130735845815,  1.6816865,  24.0983701, -0.7933189,
 2017-Jan-15 18:00, 2457769.250000000, , , 23.3040636,  8.9038491,  24.846995, -0.771433, 1.42252855676419,  1.7014022,  24.8469952, -0.7714335,
 2017-Jan-17 00:00, 2457770.500000000, , , 24.0006091,  9.1966128,  25.594321, -0.749455, 1.42376387163211,  1.7207941,  25.5943207, -0.7494545,
 2017-Jan-18 06:00, 2457771.750000000, , , 24.6970878,  9.4875314,  26.340336, -0.727387, 1.42501306840964,  1.7398598,  26.3403356, -0.7273868,
 2017-Jan-19 12:00, 2457773.000000000, , , 25.3935165,  9.7765624,  27.085029, -0.705235, 1.42627591097795,  1.7585975,  27.0850290, -0.7052349,
 2017-Jan-20 18:00, 2457774.250000000, , , 26.0899119, 10.0636641,  27.828391, -0.683004, 1.42755216182971,  1.7770054,  27.8283905, -0.6830036,
 2017-Jan-22 00:00, 2457775.500000000, , , 26.7862898, 10.3487953,  28.570410, -0.660698, 1.42884158214636,  1.7950815,  28.5704102, -0.6606976,
 2017-Jan-23 06:00, 2457776.750000000, , , 27.4826654, 10.6319153,  29.311078, -0.638322, 1.43014393187476,  1.8128243,  29.3110782, -0.6383216,
 2017-Jan-24 12:00, 2457778.000000000, , , 28.1790536, 10.9129842,  30.050385, -0.615880, 1.43145896980303,  1.8302322,  30.0503852, -0.6158801,
 2017-Jan-25 18:00, 2457779.250000000, , , 28.8754683, 11.1919626,  30.788322, -0.593378, 1.43278645363575,  1.8473038,  30.7883222, -0.5933777,
 2017-Jan-27 00:00, 2457780.500000000, , , 29.5719231, 11.4688118,  31.524881, -0.570819, 1.43412614006820,  1.8640377,  31.5248806, -0.5708190,
 2017-Jan-28 06:00, 2457781.750000000, , , 30.2684308, 11.7434936,  32.260052, -0.548209, 1.43547778486003,  1.8804326,  32.2600519, -0.5482086,
 2017-Jan-29 12:00, 2457783.000000000, , , 30.9650036, 12.0159706,  32.993828, -0.525551, 1.43684114290788,  1.8964874,  32.9938284, -0.5255509,
 2017-Jan-30 18:00, 2457784.250000000, , , 31.6616530, 12.2862059,  33.726202, -0.502850, 1.43821596831737,  1.9122012,  33.7262022, -0.5028504,
 2017-Feb-01 00:00, 2457785.500000000, , , 32.3583899, 12.5541631,  34.457166, -0.480112, 1.43960201447406,  1.9275728,  34.4571662, -0.4801116,
 2017-Feb-02 06:00, 2457786.750000000, , , 33.0552246, 12.8198066,  35.186713, -0.457339, 1.44099903411364,  1.9426016,  35.1867132, -0.4573387,
 2017-Feb-03 12:00, 2457788.000000000, , , 33.7521665, 13.0831014,  35.914837, -0.434536, 1.44240677939114,  1.9572867,  35.9148368, -0.4345362,
 2017-Feb-04 18:00, 2457789.250000000, , , 34.4492245, 13.3440131,  36.641531, -0.411708, 1.44382500194924,  1.9716274,  36.6415306, -0.4117084,
 2017-Feb-06 00:00, 2457790.500000000, , , 35.1464068, 13.6025080,  37.366789, -0.388860, 1.44525345298560,  1.9856233,  37.3667886, -0.3888595,
 2017-Feb-07 06:00, 2457791.750000000, , , 35.8437208, 13.8585530,  38.090605, -0.365994, 1.44669188331917,  1.9992737,  38.0906052, -0.3659938,
 2017-Feb-08 12:00, 2457793.000000000, , , 36.5411733, 14.1121155,  38.812975, -0.343115, 1.44814004345548,  2.0125784,  38.8129750, -0.3431155,
 2017-Feb-09 18:00, 2457794.250000000, , , 37.2387703, 14.3631637,  39.533893, -0.320229, 1.44959768365088,  2.0255369,  39.5338931, -0.3202286,
 2017-Feb-11 00:00, 2457795.500000000, , , 37.9365170, 14.6116664,  40.253355, -0.297337, 1.45106455397570,  2.0381492,  40.2533548, -0.2973373,
 2017-Feb-12 06:00, 2457796.750000000, , , 38.6344182, 14.8575930,  40.971356, -0.274446, 1.45254040437636,  2.0504150,  40.9713556, -0.2744457,
 2017-Feb-13 12:00, 2457798.000000000, , , 39.3324776, 15.1009136,  41.687892, -0.251558, 1.45402498473641,  2.0623344,  41.6878915, -0.2515577,
 2017-Feb-14 18:00, 2457799.250000000, , , 40.0306984, 15.3415990,  42.402959, -0.228677, 1.45551804493648,  2.0739073,  42.4029588, -0.2286773,
 2017-Feb-16 00:00, 2457800.500000000, , , 40.7290829, 15.5796204,  43.116554, -0.205808, 1.45701933491314,  2.0851339,  43.1165540, -0.2058085,
 2017-Feb-17 06:00, 2457801.750000000, , , 41.4276327, 15.8149499,  43.828674, -0.182955, 1.45852860471657,  2.0960144,  43.8286739, -0.1829550,
 2017-Feb-18 12:00, 2457803.000000000, , , 42.1263489, 16.0475601,  44.539316, -0.160121, 1.46004560456729,  2.1065491,  44.5393156, -0.1601207,
 2017-Feb-19 18:00, 2457804.250000000, , , 42.8252315, 16.2774244,  45.248477, -0.137309, 1.46157008491160,  2.1167382,  45.2484767, -0.1373094,
 2017-Feb-21 00:00, 2457805.500000000, , , 43.5242799, 16.5045167,  45.956155, -0.114525, 1.46310179647591,  2.1265823,  45.9561549, -0.1145248,
 2017-Feb-22 06:00, 2457806.750000000, , , 44.2234928, 16.7288116,  46.662348, -0.091771, 1.46464049031999,  2.1360818,  46.6623480, -0.0917705,
 2017-Feb-23 12:00, 2457808.000000000, , , 44.9228680, 16.9502844,  47.367055, -0.069050, 1.46618591788888,  2.1452374,  47.3670545, -0.0690503,
 2017-Feb-24 18:00, 2457809.250000000, , , 45.6224028, 17.1689110,  48.070273, -0.046368, 1.46773783106375,  2.1540495,  48.0702730, -0.0463675,
 2017-Feb-26 00:00, 2457810.500000000, , , 46.3220936, 17.3846680,  48.772002, -0.023726, 1.46929598221146,  2.1625190,  48.7720021, -0.0237258,
 2017-Feb-27 06:00, 2457811.750000000, , , 47.0219359, 17.5975327,  49.472241, -0.001129, 1.47086012423303,  2.1706466,  49.4722412, -0.0011287,
 2017-Feb-28 12:00, 2457813.000000000, , , 47.7219248, 17.8074829,  50.170989,  0.021421, 1.47243001061090,  2.1784331,  50.1709895,  0.0214206,
 2017-Mar-01 18:00, 2457814.250000000, , , 48.4220543, 18.0144971,  50.868247,  0.043918, 1.47400539545504,  2.1858795,  50.8682467,  0.0439185,
 2017-Mar-03 00:00, 2457815.500000000, , , 49.1223180, 18.2185547,  51.564013,  0.066362, 1.47558603354788,  2.1929867,  51.5640127,  0.0663618,
 2017-Mar-04 06:00, 2457816.750000000, , , 49.8227085, 18.4196355,  52.258288,  0.088747, 1.47717168038812,  2.1997557,  52.2582877,  0.0887472,
 2017-Mar-05 12:00, 2457818.000000000, , , 50.5232178, 18.6177199,  52.951072,  0.111072, 1.47876209223339,  2.2061877,  52.9510721,  0.1110716,
 2017-Mar-06 18:00, 2457819.250000000, , , 51.2238371, 18.8127893,  53.642367,  0.133332, 1.48035702614192,  2.2122837,  53.6423666,  0.1333318,
 2017-Mar-08 00:00, 2457820.500000000, , , 51.9245570, 19.0048255,  54.332172,  0.155525, 1.48195624001302,  2.2180450,  54.3321720,  0.1555246,
 2017-Mar-09 06:00, 2457821.750000000, , , 52.6253672, 19.1938111,  55.020490,  0.177647, 1.48355949262659,  2.2234728,  55.0204895,  0.1776470,
 2017-Mar-10 12:00, 2457823.000000000, , , 53.3262570, 19.3797291,  55.707321,  0.199696, 1.48516654368167,  2.2285684,  55.7073206,  0.1996960,
 2017-Mar-11 18:00, 2457824.250000000, , , 54.0272146, 19.5625636,  56.392667,  0.221669, 1.48677715383407,  2.2333331,  56.3926667,  0.2216687,
 2017-Mar-13 00:00, 2457825.500000000, , , 54.7282278, 19.7422990,  57.076530,  0.243562, 1.48839108473322,  2.2377683,  57.0765298,  0.2435622,
 2017-Mar-14 06:00, 2457826.750000000, , , 55.4292837, 19.9189204,  57.758912,  0.265374, 1.49000809905838,  2.2418756,  57.7589120,  0.2653737,
 2017-Mar-15 12:00, 2457828.000000000, , , 56.1303687, 20.0924139,  58.439815,  0.287100, 1.49162796055420,  2.2456563,  58.4398154,  0.2871002,
