*******************************************************************************
Ephemeris / WWW_USER Mon Nov 21 02:14:54 2016 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Venus (299)                     {source: DE431mx}
Center body name: Sun (10)                        {source: DE431mx}
Center-site name: BODYCENTRIC
*******************************************************************************
Start time      : A.D. 2016-Nov-21 00:00:00.0000 UT      
Stop  time      : A.D. 2017-Jul-04 00:00:00.0000 UT      
Step-size       : 840 minutes
*******************************************************************************
Target pole/equ : IAU_VENUS                       {East-longitude +}
Target radii    : 6051.8 x 6051.8 x 6051.8 km     {Equator, meridian, pole}    
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : IAU_SUN                         {East-longitude +}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Target primary  : Sun
Vis. interferer : None
Rel. light bend : Sun                             {source: DE431mx}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : BOTH
EOP file        : eop.161118.p170209                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2016-NOV-18. PREDICTS-> 2017-FEB-08
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass     n.a.    , Daylight (NO )
Table cut-offs 2: Solar Elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table format    : Comma Separated Values (spreadsheet)
****************************************************************************************************************************************************************
 Date__(UT)__HR:MN, Date_________JDUT, , ,R.A._(ICRF/J2000.0), DEC_(ICRF/J2000.0),   hEcl-Lon,  hEcl-Lat,            delta,     deldot,    ObsEcLon,   ObsEcLat,
****************************************************************************************************************************************************************
$$SOE
 2016-Dec-16 16:00, 2457739.166666667, , , 24.2805838,  7.2571102,  25.147904, -2.657163, 0.72468616389443, -0.2263025,  25.1479037, -2.6571625,
 2016-Dec-17 06:00, 2457739.750000000, , , 25.1428065,  7.6260392,  26.079408, -2.622481, 0.72460974123487, -0.2273644,  26.0794085, -2.6224813,
 2016-Dec-17 20:00, 2457740.333333333, , , 26.0066964,  7.9933361,  27.011058, -2.587100, 0.72453297088060, -0.2283665,  27.0110580, -2.5871004,
 2016-Dec-18 10:00, 2457740.916666667, , , 26.8723232,  8.3589135,  27.942853, -2.551029, 0.72445587303008, -0.2293085,  27.9428530, -2.5510288,
 2016-Dec-19 00:00, 2457741.500000000, , , 27.7397555,  8.7226838,  28.874794, -2.514275, 0.72437846798107, -0.2301902,  28.8747938, -2.5142755,
 2016-Dec-19 14:00, 2457742.083333333, , , 28.6090611,  9.0845590,  29.806881, -2.476850, 0.72430077612550, -0.2310111,  29.8068813, -2.4768498,
 2016-Dec-20 04:00, 2457742.666666667, , , 29.4803065,  9.4444509,  30.739116, -2.438761, 0.72422281794421, -0.2317711,  30.7391159, -2.4387612,
 2016-Dec-20 18:00, 2457743.250000000, , , 30.3535576,  9.8022707,  31.671498, -2.400019, 0.72414461400163, -0.2324700,  31.6714983, -2.4000194,
 2016-Dec-21 08:00, 2457743.833333333, , , 31.2288786, 10.1579296,  32.604029, -2.360634, 0.72406618494050, -0.2331075,  32.6040291, -2.3606343,
 2016-Dec-21 22:00, 2457744.416666667, , , 32.1063330, 10.5113384,  33.536709, -2.320616, 0.72398755147648, -0.2336834,  33.5367089, -2.3206158,
 2016-Dec-22 12:00, 2457745.000000000, , , 32.9859826, 10.8624075,  34.469538, -2.279974, 0.72390873439277, -0.2341975,  34.4695383, -2.2799742,
 2016-Dec-23 02:00, 2457745.583333333, , , 33.8678881, 11.2110470,  35.402518, -2.238720, 0.72382975453467, -0.2346497,  35.4025179, -2.2387199,
 2016-Dec-23 16:00, 2457746.166666667, , , 34.7521089, 11.5571668,  36.335648, -2.196863, 0.72375063280412, -0.2350397,  36.3356485, -2.1968635,
 2016-Dec-24 06:00, 2457746.750000000, , , 35.6387025, 11.9006764,  37.268931, -2.154416, 0.72367139015425, -0.2353675,  37.2689305, -2.1544156,
 2016-Dec-24 20:00, 2457747.333333333, , , 36.5277254, 12.2414852,  38.202365, -2.111387, 0.72359204758386, -0.2356329,  38.2023647, -2.1113872,
 2016-Dec-25 10:00, 2457747.916666667, , , 37.4192319, 12.5795021,  39.135952, -2.067789, 0.72351262613191, -0.2358357,  39.1359516, -2.0677893,
 2016-Dec-26 00:00, 2457748.500000000, , , 38.3132750, 12.9146360,  40.069692, -2.023633, 0.72343314687195, -0.2359760,  40.0696920, -2.0236332,
 2016-Dec-26 14:00, 2457749.083333333, , , 39.2099059, 13.2467953,  41.003586, -1.978930, 0.72335363090657, -0.2360536,  41.0035864, -1.9789302,
 2016-Dec-27 04:00, 2457749.666666667, , , 40.1091737, 13.5758884,  41.937635, -1.933692, 0.72327409936180, -0.2360685,  41.9376354, -1.9336920,
 2016-Dec-27 18:00, 2457750.250000000, , , 41.0111258, 13.9018235,  42.871840, -1.887930, 0.72319457338150, -0.2360206,  42.8718398, -1.8879301,
 2016-Dec-28 08:00, 2457750.833333333, , , 41.9158075, 14.2245085,  43.806200, -1.841657, 0.72311507412173, -0.2359099,  43.8062001, -1.8416565,
 2016-Dec-28 22:00, 2457751.416666667, , , 42.8232619, 14.5438513,  44.740717, -1.794883, 0.72303562274508, -0.2357363,  44.7407171, -1.7948832,
 2016-Dec-29 12:00, 2457752.000000000, , , 43.7335301, 14.8597594,  45.675391, -1.747622, 0.72295624041505, -0.2355000,  45.6753912, -1.7476223,
 2016-Dec-30 02:00, 2457752.583333333, , , 44.6466509, 15.1721406,  46.610223, -1.699886, 0.72287694829033, -0.2352008,  46.6102232, -1.6998861,
 2016-Dec-30 16:00, 2457753.166666667, , , 45.5626607, 15.4809025,  47.545214, -1.651687, 0.72279776751913, -0.2348389,  47.5452136, -1.6516871,
 2016-Dec-31 06:00, 2457753.750000000, , , 46.4815936, 15.7859524,  48.480363, -1.603038, 0.72271871923348, -0.2344144,  48.4803631, -1.6030379,
